taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,soil_moisture_a,soil_moisture_f,substrate_a,substrate_f
Acacia homalophylla,Widespread in New South Wales but just crossing the Murray River into Victoria where present mainly as remnant populations in paddocks and roadsides,Widespread in New South Wales but just crossing the Murray River into Victoria where present mainly as remnant populations in paddockss and roadsidess,NA,NA,paddock roadside,paddockss roadsidess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia howittii,Endemic to Victoria Confined to eastern Victoria from the upper Macalister River area near Mt Howitt south to near Yarram and east to near Tabberabbera Grows in moist forest Widely cultivated and naturalising in some areas eg Daylesford Greater Melbourne Dandenong Ranges etc,Endemic to Victoria Confined to eastern Victoria from the upper Macalister River area near Mt Howitt south to near Yarram and east to near Tabberabbera Grows in moist forest Widely cultivated and naturalising in some areas eg Daylesford Greater Melbourne Dandenong Ranges etc,NA,NA,cultivated forest,cultivated forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia implexa,King Is only Widespread in hilly country and on fertile plains mostly in open forest and usually on shallow drier soils,King Is only Widespread in hilly country and on fertile plains mostly in open forest and usually on shallow drier soils,NA,NA,forest plains,forest plains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia infecunda,Known from a single population growing on high rocky ground in the upper catchment of Little River near Wulgulmerang,Known from a single population growing on high rocky ground in the upper catchment of Little River near Wulgulmerang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia irrorata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia irrorata subsp. irrorata,Known only from a single river catchment in Cann River area of East Gippsland plants growing at the margins of warm temperate rainforest gullies A specimen in MEL from Narre Warren is presumed to be from a cultivated plant,Known only from a single river catchment in Cann River area of East Gippsland plants growing at the margins of warm temperaterainforest gullies A specimen in MEL from Narre Warren is presumed to be from a cultivated plant,NA,NA,rainforest_temperate cultivated,temperaterainforest cultivated,gullies,gullies,NA,NA,NA,NA,NA,NA,NA,NA
Acacia iteaphylla,SA native and naturalised NSW naturalised Native to South Australia commonly cultivated occasionally escaping into surrounding remnant native vegetation,SA native and naturalised NSW naturalised Native to South Australia commonly cultivated occasionally escaping into surrounding remnant native vegetation,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia kettlewelliae,Occurs in the Great Dividing Range from the Southern Tablelands in New South Wales through to Mt Buffalo Mostly in highaltitude montane forest but also growing on lower slopes and near streams Collections in MEL labelled Grampians Mountains and Mt La Trobe Wilsons Promontory are presumably in error or plantings,Occurs in the Great Dividing Range from the Southern Tablelands in New South Wales through to Mt Buffalo Mostly in highaltitude montane forest but also growing on lower slopes and near streams Collections in MEL labelled Grampians Mountains and Mt La Trobe Wilsons Promontory are presumably in error or plantings,NA,NA,forest,forest,slopes,slopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia kybeanensis,In Victoria mainly in the Suggan BugganGelantipy area in northern East Gippsland Usually growing in dryish woodland or forest on rocky slopes commonly at c 1000 m altitude,In Victoria mainly in the Suggan BugganGelantipy area in northern East Gippsland Usually growing in dryish woodland or forest on rockyslopes commonly at c 1000 m altitude,NA,NA,forest woodland,forest woodland,slopes_rocky,rockyslopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia lanigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia lanigera var. gracilipes,Restricted to near Mountain Creek south of Mt Deddick and along the Genoa River in Victoria Usually growing among granite boulders in open forest or shrubland,Restricted to near Mountain Creek south of Mt Deddick and along the Genoa River in Victoria Usually growing among granite boulders in open forest or shrubland,NA,NA,forest,forest,NA,NA,NA,NA,NA,NA,NA,NA,granite,granite
Acacia lanigera var. lanigera,Confined to northeast in Victoria particularly near Mt Pilot and Pine Mountain Growing in open eucalypt forest on shale and granite hills in shallow stony or sandy soils,Confined to northeast in Victoria particularly near Mt Pilot and Pine Mountain Growing in open eucalypt forest on shale and granite hills in shallow stony or sandy soils,NA,NA,forest,forest,hills,hills,NA,NA,sand,sandy,NA,NA,granite shale,granite shale
Acacia lanigera var. whanii,Widespread through central Victoria from Skipton to Licola,Widespread through central Victoria from Skipton to Licola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. crassipoda,Restricted to ranges in western Victoria Grampians and Pyrenees Range on steep slopes in Eucalyptus forest,Restricted to ranges in western Victoria Grampians and Pyrenees Range on steepslopes in Eucalyptus forest,NA,NA,NA,NA,slopes_steep,steepslopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. graveolens,Widespread in tall Eucalyptus forest on and south of the Great Dividing Range mainly in eastern Victoria,Widespread in tall Eucalyptus forest on and south of the Great Dividing Range mainly in eastern Victoria,NA,NA,forest,forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. magna,Restricted to hillsides with tall wet forest or rainforest in the Otways from Anglesea to Carlisle River,Restricted to hillsides with tall wet forest or rainforest in the Otways from Anglesea to Carlisle River,NA,NA,forest rainforest,forest rainforest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia leprosa var. uninervia,Locally common Eucalyptus forest in ranges northeast of Melbourne Healesville Poweltown Buxton and near Mt Buffalo with scattered occurrences west towards Ballarat,Locally common Eucalyptus forest in ranges northeast of Melbourne Healesville Poweltown Buxton and near Mt Buffalo with scattered occurrences west towards Ballarat,NA,NA,forest,forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ligulata,Widespread in northwest Victoria where growing in mallee woodland or shrubland on sand,Widespread in northwest Victoria where growing in mallee woodland or shrubland on sand,NA,NA,mallee woodland,mallee woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia linearifolia,Known in Victoria from a small population in dry open forest in the northeast near Burrowye near the New South Wales border The nearest population appears to be at The Rock near Corowa in New South Wales whereas the species is principally found on dry inland slopes of central New South Wales,Known in Victoria from a small population in dry open forest in the northeast near Burrowye near the New South Wales border The nearest population appears to be at The Rock near Corowa in New South Wales whereas the species is principally found on dry inland slopes of central New South Wales,NA,NA,forest,forest,slopes,slopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia lineata,Mainly in northwestern Victoria often growing in mallee communities,Mainly in northwestern Victoria often growing in mallee communities,NA,NA,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia loderi,In Victoria restricted to near Merbein and Nyah in the northwest and near Pyramid Hill and Nathalia in the central north It exists now as mostly remnant stands on or near private land,In Victoria restricted to near Merbein and Nyah in the northwest and near Pyramid Hill and Nathalia in the central north It exists now as mostly remnant stands on or near private land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia longifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia longifolia subsp. longifolia,Widespread in southern Victoria possibly not native west of East Gippsland but original range difficult to assess due to widespread naturalisation and equally common misidentification at varietal level,Widespread in southern Victoria possibly not native west of East Gippsland but original range difficult to assess due to widespread naturalisation and equally common misidentification at varietal level,NA,NA,widespread,widespread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia longifolia subsp. sophorae,Widespread in coastal sanddunes and nearby heaths and woodlands possibly invading the hinterland also occurring in Grampians,Widespread in coastal sandsandduness and nearby heaths and woodlands possibly invading the hinterland also occurring in Grampians,NA,NA,heath woodland,heaths woodlands,NA,NA,NA,NA,sand,sands,NA,NA,NA,NA
Acacia lucasii,Also NSW upper Tuross River Extremely localized in Victoria occurring on the Nunniong Plateau in the far northeast where it grows in heath and low woodland on exposed rocky slopes,Also NSW upper Tuross River Extremely localized in Victoria occurring on the Nunniong Plateau in the far northeast where it grows in heath and low woodland on exposed rockyslopes,NA,NA,heath woodland,heath woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia maidenii,Restricted in Victoria to roadsides and nearcoastal sandy rises near Orbost,Restricted in Victoria to roadsidess and nearcoastal sandy rises near Orbost,NA,NA,roadside,roadsidess,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Acacia mearnsii,Widespread and common in lowlands Grows in open forest heathy woodland and on cleared land particularly on dry shallow soils,Widespread and common in lowlands Grows in open forest heathy woodland and on cleared land particularly on dry shallowsoils,NA,NA,forest woodland,forest woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia melanoxylon,Widespread and often common growing in a diversity of habitats but favouring fertile soils in valleys and on flats in mountainous areas often in wet sclerophyll forest and rainforest,Widespread and often common growing in a diversity of habitats but favouring fertile soils in valley and on flats in mountainous areas often in wetsclerophyll forest and rainforest,NA,NA,forest_wet_sclerophyll forest,wetsclerophyll forest,flat valley,flats valley,NA,NA,NA,NA,NA,NA,NA,NA
Acacia melvillei,Scattered through northwestern Victoria mostly along Murray River and its floodplain often in woodland,Scattered through northwestern Victoria mostly along Murray River and its floodplain often in woodland,NA,NA,floodplain,floodplain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia microcarpa,Scattered through northwest of the State usually in mallee communities in sand,Scattered through northwest of the State usually in mallee communities in sand,NA,NA,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mitchellii,Also northeast far southeast Disjunct distribution across most of Victoria favouring heathland and forests with heathy understorey,Also northeast far southeast Disjunct distribution across most of Victoria favouring heathland and forests with heathy understorey,NA,NA,forest heath,forests heathland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mollifolia,Native to New South Wales plants naturalised in Victoria at the McKay Reservoir near Chewton growing in dry woodland,Native to New South Wales plants naturalised in Victoria at the McKay Reservoir near Chewton growing in dry woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia montana,Most common on the inland slopes of the Great Dividing Range and adjacent plains but also reported from Werribee Long Forest Brisbane Ranges and Warburton district It grows in a variety of soils often in openforest or high shrubland,Most common on the inland slopes of the Great Dividing Range and adjacent plains but also reported from Werribee Long Forest Brisbane Ranges and Warburton district It grows in a variety of soils often in openforest or high shrubland,NA,NA,forest_open plains,openforest plains,slopes,slopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mucronata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia mucronata subsp. longifolia,Widespread and common in forests and woodland mostly south of the Great Dividing Range,Widespread and common in forests and woodland mostly south of the Great Dividing Range,NA,NA,forest woodland,forests woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia myrtifolia,All states except Patchily distributed but common through southern Victoria growing on sand or sand over laterite or granite in forest woodland scrub or coastal heath,All states except Patchily distributed but common through southern Victoria growing on sand or sand over laterite or granite in forest woodland scrub or coastal heath,NA,NA,forest scrub woodland,forest scrub woodland,NA,NA,NA,NA,laterite  sand,laterite sand,NA,NA,granite,granite
Acacia nanodealbata,Known from forests in the HealesvilleWarburton area the top of Mt Macedon near Creswick and in the Otway Range,Known from forests in the HealesvilleWarburton area the top of Mt Macedon near Creswick and in the Otway Range,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
